name
"Quantum of Solace,Licence to Kill,Diamonds Are Forever,Casino Royale,Die Another Day,Spectre,From Russia with Love,Octopussy,GoldenEye,Code of Honor,Lethal Weapon 4,Never Say Never Again,Apocalypto,Highlander,A View to a Kill,For Your Eyes Only,The Transporter,The Adventures of Elmo in Grouchland,Dr. No,I Am Number Four,3 Days to Kill,Half Past Dead,Dutch Kills,True Grit,Commando"
"Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Phillips,The Pirates! In an Adventure with Scientists!,Ladder 49,The Sorcerer's Apprentice,20,000 Leagues Under the Sea,Shipwrecked,VeggieTales: The Pirates Who Don't Do Anything,The Adventures of Tintin,Sky Captain and the World of Tomorrow,All Is Lost,Crimson Tide,King Kong,The Adventures of Huck Finn,Commando,Moby Dick,Stardust,Dragonslayer,Dark Shadows,Into the Woods,Fifty Dead Men Walking,Master and Commander: The Far Side of the World"
"The Lone Ranger,Mindhunters,Doom,The Wild Bunch,Butch Cassidy and the Sundance Kid,Blackthorn,Dear Wendy,Torque,The Crow,Lethal Weapon 4,Hidalgo,White Fang,The Proposition,Around the World in 80 Days,3:10 to Yuma,The Assassination of Jesse James by the Coward Robert Ford,Glory Road,American Outlaws,The Outsiders,The Man Who Shot Liberty Valance,Sahara,The Core,G-Force,West Side Story,Taken"
"Man of Steel,Jupiter Ascending,Superman III,Fantastic Four,Superman IV: The Quest for Peace,Superman Returns,Phenomenon,Superman II,Batman v Superman: Dawn of Justice,I Am Legend,The Adventures of Pinocchio,Hostel: Part II,Superman,The Forsaken,Jack the Giant Slayer,Charlie and the Chocolate Factory,Nothing But a Man,Astro Boy,Broken Vessels,2012,Battlefield Earth,Duma,Beginners,Caravans,The Scorpion King"
"The Chronicles of Narnia: Prince Caspian,Harrison Montgomery,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Virgin Territory,The Last Legion,The Secret Life of Walter Mitty,Brooklyn,The Lion of Judah,Blackthorn,Harry Potter and the Chamber of Secrets,The Crow,Cinderella,Headhunters,Severance,Made in Dagenham,Shine,The Prince & Me,The Lion King,Straight A's,A Cock and Bull Story,Furious 7,Fantastic Four,Mirror Mirror,The Mummy Returns,TRON: Legacy"
"The Avengers,Iron Man,Avengers: Age of Ultron,Iron Man 3,Captain America: The First Avenger,Thor: The Dark World,Captain America: Civil War,Iron Man 2,Guardians of the Galaxy,Ant-Man,The Incredible Hulk,Team America: World Police,Thor,Transformers: Revenge of the Fallen,Captain America: The Winter Soldier,Superman,Minions,Fantastic 4: Rise of the Silver Surfer,X2,Star Wars: Episode I - The Phantom Menace,Skin Trade,Superhero Movie,Alive,The Spiderwick Chronicles,The Shadow"
"Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: At World's End,The Pirates! In an Adventure with Scientists!,Captain Phillips,Ladder 49,Shipwrecked,The Adventures of Tintin,All Is Lost,20,000 Leagues Under the Sea,Master and Commander: The Far Side of the World,The Sorcerer's Apprentice,Oblivion,Total Recall,King Kong,The Adventures of Huck Finn,Small Soldiers,Crimson Tide,Titanic,Clash of the Titans,Pan,Rockaway,Inspector Gadget,VeggieTales: The Pirates Who Don't Do Anything"
"Men in Black 3,Pound of Flesh,Back to the Future,Men in Black,RED,Timecop,Time Changer,Copying Beethoven,Son of God,Repo Men,About Time,How to Fall in Love,Rise of the Planet of the Apes,I Origins,Multiplicity,Riddick,Gunless,The R.M.,True Lies,The Cookout,Back to the Future Part II,Charlie St. Cloud,E.T. the Extra-Terrestrial,I Love You, Beth Cooper,Ballistic: Ecks vs. Sever"
"The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,Army of Darkness,300,The Lord of the Rings: The Two Towers,Spawn,The Lord of the Rings: The Return of the King,Superman IV: The Quest for Peace,Centurion,Mortal Kombat: Annihilation,Dark Blue,Men in Black,Legend of the Guardians: The Owls of Ga'Hoole,Creed,Night at the Museum,Battle: Los Angeles,One Man's Hero,Batman & Robin,The Thin Red Line,Underworld: Rise of the Lycans,The Lord of the Rings: The Fellowship of the Ring,Diner,Jack the Giant Slayer,Falcon Rising"
"The Amazing Spider-Man,1982,All Is Lost,Multiplicity,The Beastmaster,I Love You, Man,Copying Beethoven,Flying By,Jeff, Who Lives at Home,Should've Been Romeo,Gran Torino,The Mudge Boy,After Earth,Me You and Five Bucks,The Adventures of Elmo in Grouchland,How to Fall in Love,The Truman Show,Big Fish,Gladiator,The Call of Cthulhu,Khumba,Tin Can Man,Iron Man 2,The Animal,Hugo"
"Robin Hood,All Is Lost,The Assassination of Jesse James by the Coward Robert Ford,Forsaken,Ironclad,Back to the Future,Apocalypto,Reign Over Me,Stardust,Inspector Gadget,Gladiator,Code of Honor,Free State of Jones,The Adventures of Elmo in Grouchland,Wanted,First Knight,Cinderella Man,Nicholas Nickleby,Gran Torino,Charlie St. Cloud,American Sniper,Love Happens,Chappie,Grosse Pointe Blank,Walking Tall"
"The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,How to Train Your Dragon 2,Creed,George and the Dragon,Legend of the Guardians: The Owls of Ga'Hoole,Red Dragon,The Lord of the Rings: The Two Towers,Sucker Punch,The Wicked Lady,Dragonslayer,Reign of Fire,Pete's Dragon,The Adventures of Pinocchio,Eragon,Agent Cody Banks 2: Destination London,Hot Pursuit,The Secret Life of Walter Mitty,San Andreas,The Other End of the Line,The Golden Compass,Dungeons & Dragons: Wrath of the Dragon God,How to Be Single,Man of Steel"
"The Golden Compass,The Secret Life of Walter Mitty,Inkheart,Alpha and Omega: The Legend of the Saw Tooth Cave,A Shine of Rainbows,The Last Legion,Return to Oz,Flyboys,The Lion of Judah,Jonah: A VeggieTales Movie,Around the World in 80 Days,X-Men: The Last Stand,Anaconda,The Adventures of Pinocchio,Puss in Boots,The Hobbit: The Desolation of Smaug,Legend of the Guardians: The Owls of Ga'Hoole,Fantastic 4: Rise of the Silver Surfer,The New World,The BFG,The Chronicles of Narnia: Prince Caspian,Blade: Trinity,The Imaginarium of Doctor Parnassus,The Lord of the Rings: The Two Towers,Blackthorn"
"King Kong,K-19: The Widowmaker,Master and Commander: The Far Side of the World,Alexander,An Alan Smithee Film: Burn, Hollywood, Burn,The Adventures of Tintin,Rockaway,A Dangerous Method,Pi,Triangle,Blackthorn,Brooklyn,The Life Aquatic with Steve Zissou,FearDotCom,White Noise,Catwoman,The Huntsman: Winter's War,Sugar Hill,The Scorpion King,A Walk Among the Tombstones,Arbitrage,Napoleon Dynamite,Sherlock Holmes: A Game of Shadows,Coriolanus,A Sound of Thunder"
"Titanic,Ghost Ship,Master and Commander: The Far Side of the World,The Switch,The Notebook,The Bounty,Captain Phillips,The Merchant of Venice,The Perks of Being a Wallflower,Star Trek II: The Wrath of Khan,To Write Love on Her Arms,Triangle,King Kong,Kicks,Pirates of the Caribbean: On Stranger Tides,The Age of Adaline,Flicka,Love Me Tender,Rent,The Shipping News,Ever After: A Cinderella Story,Opal Dream,Dear Frankie,Julia,Victor Frankenstein"
"Captain America: Civil War,Captain America: The First Avenger,Iron Man 3,Captain America: The Winter Soldier,Avengers: Age of Ultron,Iron Man,Guardians of the Galaxy,Transformers: Revenge of the Fallen,300,TRON: Legacy,The One,America's Sweethearts,The Avengers,Ant-Man,300: Rise of an Empire,Orphan,Thor: The Dark World,The Incredible Hulk,20,000 Leagues Under the Sea,Transformers: Age of Extinction,John Carter,Nomad: The Warrior,Thor,Iron Man 2,Jurassic World"
"Battleship,John Carter,Riddick,Paul,The 5th Wave,I Am Number Four,E.T. the Extra-Terrestrial,Superman,Impostor,Commando,All Is Lost,The Last King of Scotland,The Rundown,Planet 51,Alexander,K-PAX,Furious 7,The Night Listener,Coriolanus,Crimson Tide,Master and Commander: The Far Side of the World,Hellraiser,Meet Dave,Movie 43,Aliens vs Predator: Requiem"
"Jurassic World,The Lost World: Jurassic Park,Jurassic Park,Jurassic Park III,The Land Before Time,Sea Rex 3D: Journey to a Prehistoric World,The Scorpion King,The One,Walking With Dinosaurs,Cirque du Soleil: Worlds Away,Timecop,John Carter,Super Mario Bros.,The Count of Monte Cristo,Small Soldiers,The Good Dinosaur,Land of the Lost,Æon Flux,The Adventures of Tintin,A Sound of Thunder,Terminator Genisys,Captain America: Civil War,Iron Man 3,Minions,World War Z"
"Skyfall,Octopussy,Spectre,Never Say Never Again,Die Another Day,Dr. No,Live and Let Die,Ballistic: Ecks vs. Sever,GoldenEye,You Only Live Twice,Topaz,Switchback,Quantum of Solace,The Spy Who Loved Me,Diamonds Are Forever,D-Tox,Johnny English Reborn,The World Is Not Enough,Get Smart,Johnny English,From Russia with Love,Men in Black II,Licence to Kill,American Hustle,I Spy"
"Spider-Man 2,Spider-Man 3,Spider-Man,Iron Man 2,The Amazing Spider-Man,I Love You, Man,All Is Lost,Ant-Man,In the Name of the King: A Dungeon Siege Tale,Unbreakable,Big Fish,The Amazing Spider-Man 2,Hancock,Phantasm II,Superman Returns,Reign Over Me,Superman III,The Best Man,Superman,Ted,Gladiator,You, Me and Dupree,Multiplicity,Kites,Ghost Rider"
"Iron Man 3,Iron Man,Ant-Man,Captain America: The First Avenger,Captain America: Civil War,Iron Man 2,Thor: The Dark World,The Avengers,Avengers: Age of Ultron,Superman,X-Men,Thor,Guardians of the Galaxy,Man of Steel,The 6th Day,X-Men: Apocalypse,Superman III,Jurassic World,The Incredible Hulk,Spider-Man 3,The Helix... Loaded,Teenage Mutant Ninja Turtles,Harold & Kumar Escape from Guantanamo Bay,Captain America: The Winter Soldier,Deadpool"
"Alice in Wonderland,Alice Through the Looking Glass,The Queen,Mirrormask,Marie Antoinette,Enchanted,G-Force,Charlie and the Chocolate Factory,Snow White and the Huntsman,The BFG,Snow White and the Seven Dwarfs,Maleficent,The Wiz,Oz: The Great and Powerful,Dark Shadows,Pete's Dragon,The Straight Story,The Chronicles of Narnia: Prince Caspian,Queen of the Damned,Cinderella,The Lovely Bones,Pirates of the Caribbean: At World's End,The Adventures of Huck Finn,The Jungle Book,The Scorpion King"
"X-Men: The Last Stand,X-Men Origins: Wolverine,X-Men,X-Men: First Class,X-Men: Apocalypse,X2,X-Men: Days of Future Past,The League of Extraordinary Gentlemen,The Wolverine,AVP: Alien vs. Predator,Dragonball Evolution,Unstoppable,Fantastic 4: Rise of the Silver Surfer,The Core,Eragon,The Imaginarium of Doctor Parnassus,The Watch,The French Connection,Live Free or Die Hard,The Secret Life of Walter Mitty,Rise of the Planet of the Apes,The Sentinel,Fantastic Four,Around the World in 80 Days,Life of Pi"
"Monsters University,Doug's 1st Movie,Winnie the Pooh,Monsters, Inc.,Curious George,Monster House,Return to Never Land,The Princess and the Frog,Dinosaur,Barnyard,The Jungle Book 2,The Curse of the Were-Rabbit,Atlantis: The Lost Empire,Lilo & Stitch,Tangled,Toy Story 3,The Lego Movie,Pocahontas,Teacher's Pet,A Bug's Life,Chicken Little,Big Hero 6,Home on the Range,Meet the Deedles,Titan A.E."
"Transformers: Revenge of the Fallen,Transformers,Transformers: Age of Extinction,Guardians of the Galaxy,The One,Real Steel,TRON: Legacy,Transformers: Dark of the Moon,Timecop,Small Soldiers,Captain America: Civil War,The Stepford Wives,Avengers: Age of Ultron,The Rundown,Oblivion,Need for Speed,A Bug's Life,Pain & Gain,War of the Worlds,Sausage Party,Dungeons & Dragons: Wrath of the Dragon God,Night at the Museum: Battle of the Smithsonian,The Matrix Revolutions,Total Recall,Imagine That"
"Transformers: Age of Extinction,Transformers,Transformers: Revenge of the Fallen,Transformers: Dark of the Moon,The One,The Incredible Hulk,The Hitchhiker's Guide to the Galaxy,AVP: Alien vs. Predator,Timecop,Hulk,Avengers: Age of Ultron,TRON: Legacy,Teenage Mutant Ninja Turtles: Out of the Shadows,Guardians of the Galaxy,Lucy,Skyline,Sahara,The Stepford Wives,Jupiter Ascending,Ouija,Interstellar,Shooter,Captain America: Civil War,Real Steel,Star Trek: Insurrection"
"Oz: The Great and Powerful,Alice Through the Looking Glass,Cinderella,The Adventures of Huck Finn,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Red Sonja,Hocus Pocus,Super Mario Bros.,Maleficent,The Huntsman: Winter's War,Night at the Museum: Secret of the Tomb,Aladdin,Practical Magic,The Shaggy Dog,Fantasia,The Chronicles of Narnia: Prince Caspian,Alice in Wonderland,Dragonslayer,Return to Never Land,Harry Potter and the Chamber of Secrets,Race to Witch Mountain,G-Force,Saving Mr. Banks,Tuck Everlasting,Warlock: The Armageddon"
"The Amazing Spider-Man 2,Spider-Man 3,The Amazing Spider-Man,Spider-Man,I Love You, Man,Forgetting Sarah Marshall,Spider-Man 2,Pan,Trucker,Elektra,Superman Returns,Reign Over Me,Memoirs of an Invisible Man,Kites,Superman III,Tin Can Man,Blade: Trinity,The Wolverine,Due Date,Ghost Rider,X-Men,City By The Sea,Nighthawks,Airborne,The Sweetest Thing"
"TRON: Legacy,Transformers: Revenge of the Fallen,Transformers,The Rundown,Guardians of the Galaxy,The Thirteenth Floor,AVP: Alien vs. Predator,Captain America: Civil War,World War Z,Avengers: Age of Ultron,Catch That Kid,Wanted,Monkeybone,The Chronicles of Narnia: Prince Caspian,Regression,Transformers: Age of Extinction,300,The One,Transformers: Dark of the Moon,Surrogates,Around the World in 80 Days,Real Steel,The Fourth Kind,Mission: Impossible - Ghost Protocol,Sahara"
"Cars 2,Cars,A Bug's Life,Bolt,Herbie Fully Loaded,Flushed Away,Rio,Ratatouille,Teacher's Pet,Return to Never Land,The Croods,Driven,Toy Story 2,The Book of Life,Muppets Most Wanted,Stuart Little 2,Khumba,Atlantis: The Lost Empire,Surf's Up,The Adventures of Rocky & Bullwinkle,The Incredibles,Hop,The Adventures of Huck Finn,Valiant,Delgo"
"Green Lantern,Jupiter Ascending,The Green Inferno,Star Trek,The Darkest Hour,U.F.O.,The Odd Life of Timothy Green,Fantastic 4: Rise of the Silver Surfer,Yesterday Was a Lie,Man of Steel,Battlefield Earth,The Lord of the Rings: The Two Towers,Transformers: Age of Extinction,Thor,The Matrix Reloaded,Edge of Tomorrow,The Incredible Hulk,Transformers,Insurgent,Into the Storm,Clash of the Titans,The Phantom,The Adjustment Bureau,Mystic River,Blade: Trinity"
"Toy Story 3,Tangled,A Bug's Life,Return to Never Land,Bolt,Dinosaur,Winnie the Pooh,The Princess and the Frog,Barnyard,Chicken Little,Meet the Deedles,Home on the Range,Atlantis: The Lost Empire,Valiant,The Emperor's New Groove,Cars,Rio,The Curse of the Were-Rabbit,Teacher's Pet,Big Hero 6,Flushed Away,Monsters University,Chicken Run,The Jungle Book 2,Pocahontas"
"Terminator Salvation,Terminator 2: Judgment Day,The Terminator,Mutant World,Terminator 3: Rise of the Machines,The Book of Eli,Mad Max: Fury Road,The Hunger Games: Mockingjay - Part 1,Terminator Genisys,Total Recall,Battlefield Earth,9,Highlander: Endgame,I Am Legend,The Matrix Reloaded,Mad Max,Battle for the Planet of the Apes,Babylon A.D.,The Maze Runner,Gangster Squad,Red Planet,Dawn of the Planet of the Apes,The Postman,Blade Runner,Zombieland"
"Furious 7,Harrison Montgomery,The Wind That Shakes the Barley,Coriolanus,Wah-Wah,Perrier’s Bounty,Made in Dagenham,Headhunters,Alexander,Spider,The Dirties,Shame,Movie 43,Fifty Dead Men Walking,The Bad Lieutenant: Port of Call - New Orleans,Southland Tales,The 51st State,Severance,The Full Monty,Hannibal Rising,The Proposition,The Woman in Black,Blackthorn,Vera Drake,The Calling"
"World War Z,Surrogates,Shutter Island,Æon Flux,Megiddo: The Omega Code 2,They Live,Fury,The Scorpion King,Stealth,The Core,Escape from the Planet of the Apes,Narc,Lucky You,Watchmen,Chappie,The Invention of Lying,Extreme Ops,Alone in the Dark,Ultramarines: A Warhammer 40,000 Movie,Thirteen,2012,The Giver,Stop-Loss,Gattaca,Ultraviolet"
"X-Men: Days of Future Past,X-Men: The Last Stand,X-Men: Apocalypse,The Wolverine,X-Men,X-Men: First Class,X-Men Origins: Wolverine,X2,Prometheus,The League of Extraordinary Gentlemen,AVP: Alien vs. Predator,Night at the Museum: Battle of the Smithsonian,Fantastic Four,Avatar,Independence Day: Resurgence,Sahara,Kingdom of Heaven,Victor Frankenstein,Unstoppable,Deadpool,The Lovers,A Good Day to Die Hard,Blood Diamond,Dragonball Evolution,Around the World in 80 Days"
"Star Trek Into Darkness,Star Trek: Nemesis,Star Trek: Insurrection,Star Trek Beyond,Star Trek,Star Trek: Generations,Star Trek IV: The Voyage Home,Silent Running,Meet Dave,Forrest Gump,John Carter,Star Trek III: The Search for Spock,Star Trek V: The Final Frontier,World War Z,Small Apartments,Sky Captain and the World of Tomorrow,Indiana Jones and the Kingdom of the Crystal Skull,Not Cool,Zathura: A Space Adventure,Spider-Man 2,The Running Man,Superman IV: The Quest for Peace,Virtuosity,Cyrus,Teenage Mutant Ninja Turtles: Out of the Shadows"
"Jack the Giant Slayer,Firewall,Legend of the Guardians: The Owls of Ga'Hoole,Man of Steel,Henry & Me,Race,Jack Brooks: Monster Slayer,The Art of War,Speed Racer,Warcraft,The Incredible Hulk,Lucky You,Sherlock Holmes: A Game of Shadows,Ladder 49,The Change-Up,The Hobbit: An Unexpected Journey,Stardust,Thunder and the House of Magic,The Tree of Life,Central Intelligence,Harry Potter and the Prisoner of Azkaban,Lady in the Water,V for Vendetta,Clash of the Titans,The Last Airbender"
"The Great Gatsby,Alexander,Winter's Tale,A Walk on the Moon,Catwoman,Lucky You,Blue Valentine,Coriolanus,The Wind That Shakes the Barley,White Noise,The Lucky One,Adam,The Legend of Tarzan,Virgin Territory,Harrison Montgomery,Furious 7,Legend of the Guardians: The Owls of Ga'Hoole,The Lake House,A Dangerous Method,Wah-Wah,Redacted,My Week with Marilyn,Gran Torino,Southland Tales,Training Day"
"Prince of Persia: The Sands of Time,In Time,Kate & Leopold,Somewhere in Time,G-Force,Aladdin,The Incredibles,The Lovers,Rise of the Guardians,Cinderella,Tomorrowland,National Treasure,Jack the Giant Slayer,The Time Traveler's Wife,The Adventures of Huck Finn,Beastmaster 2: Through the Portal of Time,The Scorpion King,Surrogates,Down to Earth,Getaway,Drive Angry,Dragonslayer,The Guard,Thor: The Dark World,My Baby's Daddy"
"Pacific Rim,300: Rise of an Empire,Firefox,Broken Arrow,Superman Returns,The Time Machine,Interstellar,Six Days Seven Nights,Top Gun,Warcraft,Wrath of the Titans,The Island,The Hangover Part II,Surrogates,Man of Steel,The Incredible Hulk,Terminator Genisys,Centurion,Stealth,We Are Marshall,Midnight Special,The Three Musketeers,The Dark Knight,Damnation Alley,Jupiter Ascending"
"Transformers: Dark of the Moon,Transformers: Age of Extinction,Transformers,Transformers: Revenge of the Fallen,Lucy,Armageddon,Star Trek: Insurrection,Moon,The Stepford Wives,Interstellar,Speed Racer,Extreme Ops,Star Trek: The Motion Picture,The Fourth Kind,TRON: Legacy,A Dangerous Method,A Sound of Thunder,Star Trek,AVP: Alien vs. Predator,Rat Race,Guardians of the Galaxy,Sherlock Holmes: A Game of Shadows,K-19: The Widowmaker,Riddick,Doom"
"Indiana Jones and the Kingdom of the Crystal Skull,War, Inc.,Beginners,The Matrix Reloaded,Rambo III,American Hero,Total Recall,The Lost World: Jurassic Park,Winnie the Pooh,Saw III,A Serious Man,I Love You, Man,Wimbledon,Waterloo,The Equalizer,Star Trek Into Darkness,3 Ninjas Kick Back,True Grit,Commando,Man of Steel,The R.M.,City By The Sea,Star Trek,War Horse,The Adventures of Elmo in Grouchland"
"The Good Dinosaur,Dinosaur,The Princess and the Frog,Teacher's Pet,Return to Never Land,Winnie the Pooh,Ice Age: Dawn of the Dinosaurs,Atlantis: The Lost Empire,Pocahontas,Big Hero 6,WALL·E,Frozen,A Bug's Life,Super Mario Bros.,Rio,Jungle Shuffle,Land of the Lost,Walking With Dinosaurs,Lilo & Stitch,The Land Before Time,The Lion of Judah,Stuart Little 2,Stuart Little,The Jungle Book 2,Tangled"
"Brave,Frozen,Shrek the Third,Winnie the Pooh,Tangled,Maleficent,The Tale of Despereaux,Return to Never Land,The Princess and the Frog,Aladdin,Shrek 2,Big Hero 6,Pinocchio,Krull,Happy Feet Two,The Adventures of Huck Finn,A Bug's Life,Dragonslayer,The Emperor's New Groove,The Jungle Book 2,Pocahontas,Doug's 1st Movie,The Lord of the Rings: The Return of the King,The Tigger Movie,Meet the Deedles"
"Star Trek Beyond,Star Trek: The Motion Picture,Star Trek,Interstellar,Star Trek Into Darkness,Star Trek VI: The Undiscovered Country,The Ides of March,Star Trek III: The Search for Spock,Open Range,Oblivion,Sherlock Holmes: A Game of Shadows,Land of the Lost,Star Trek: Insurrection,The Hitchhiker's Guide to the Galaxy,Star Trek: First Contact,Star Trek V: The Final Frontier,The Stepford Wives,The Adventures of Tintin,Timecop,Terminator Genisys,A Sound of Thunder,Joy Ride,Noah,Timeline,Teenage Mutant Ninja Turtles: Out of the Shadows"
"WALL·E,The Princess and the Frog,Winnie the Pooh,Big Hero 6,Return to Never Land,Jungle Shuffle,The Good Dinosaur,Bolt,The Smurfs 2,Teacher's Pet,Robots,Pocahontas,Tangled,Frozen,A Bug's Life,The Jungle Book 2,The New Guy,The Matrix Reloaded,Toy Story 3,Dinosaur,Roadside Romeo,Inside Out,Treasure Planet,Lilo & Stitch,The Incredibles"
"Rush Hour 3,Rush Hour 2,Lethal Weapon 4,The Replacement Killers,Hav Plenty,Khiladi 786,Code Name: The Cleaner,The Long Kiss Goodnight,Cellular,Eraser,Saw V,Babylon A.D.,The Transporter Refueled,Mr. & Mrs. Smith,Wild Target,The Big Hit,The Helix... Loaded,Journey to the Center of the Earth,Money Train,The Sentinel,Dick Tracy,Romeo Is Bleeding,The Lost World: Jurassic Park,Malone,Killers"
"2012,The Core,Battlefield Earth,World War Z,The Scorpion King,Man of Steel,After Earth,Waterworld,The World Is Not Enough,Megiddo: The Omega Code 2,Team America: World Police,Girl, Interrupted,Thor,Journey to the Center of the Earth,Meteor,Men in Black II,The Day the Earth Stood Still,Superman IV: The Quest for Peace,Chappie,G-Force,Atlas Shrugged Part II,Prometheus,Beat the World,Spy Kids: All the Time in the World,Æon Flux"
"A Christmas Carol,Should've Been Romeo,Jeff, Who Lives at Home,Flying By,Me You and Five Bucks,1982,The Mudge Boy,Charlie St. Cloud,Gran Torino,Khumba,How to Fall in Love,Interview with the Assassin,Copying Beethoven,The R.M.,Last Orders,Nine,The Family Man,All Is Lost,Jingle All the Way,The Legend of Hercules,The Truman Show,Cavite,The Adventures of Elmo in Grouchland,Alfie,Multiplicity"
